Date,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WMT
2004-01-01,0.3402026891708374,45.8354377746582,2.5199999809265137,33.53883361816406,28.74835777282715,23.1938419342041,,17.287120819091797,20.097118377685547,19.162443161010742,,73.3258056640625,21.885236740112305,21.58033561706543,52.03711700439453,17.531686782836914,30.10997772216797,22.052318572998047,13.341862678527832,14.793548583984375,36.373897552490234,21.64125633239746,17.199596405029297,6.839237213134766,28.661884307861328,25.583602905273438,24.408769607543945,,11.926297187805176,11.851622581481934
2004-02-01,0.3607117235660553,45.03441619873047,2.1505000591278076,34.56105422973633,29.863868713378906,22.587177276611328,,15.572527885437012,20.562599182128906,21.18248176574707,,78.17505645751953,22.40352439880371,20.94104766845703,50.60546875,16.7734375,30.386167526245117,23.477434158325195,13.536954879760742,16.264856338500977,35.8818244934082,21.859485626220703,16.502899169921875,7.1917033195495605,29.202024459838867,25.954023361206055,24.85781478881836,,12.532796859741211,13.10831069946289
2004-03-01,0.40776094794273376,41.22071075439453,2.1640000343322754,33.54532241821289,28.390405654907227,23.577131271362305,,15.848203659057617,20.601966857910156,19.952892303466797,,77.05267333984375,23.051393508911133,20.32891082763672,48.23980712890625,15.644502639770508,28.7142276763916,24.009716033935547,13.62907886505127,16.420034408569336,37.82196807861328,20.09089469909668,15.507630348205566,7.645298480987549,29.877161026000977,24.296222686767578,25.836088180541992,,11.947521209716797,13.136924743652344
2004-04-01,0.3887600600719452,39.98727035522461,2.180000066757202,31.730228424072266,29.5102481842041,23.177568435668945,,14.059652328491211,21.475059509277344,18.387958526611328,,71.44080352783203,21.753395080566406,20.767322540283203,46.312095642089844,14.799003601074219,30.588144302368164,21.520023345947266,13.771233558654785,15.64989185333252,39.951683044433594,21.535343170166016,16.25408172607422,7.073296070098877,30.136409759521484,24.878564834594727,24.661022186279297,,12.339885711669922,12.573083877563477
2004-05-01,0.42314207553863525,38.77511215209961,2.424999952316284,32.8646125793457,31.66008949279785,22.57089614868164,,15.041337013244629,21.216890335083008,18.73927116394043,,69.5144271850586,22.204652786254883,20.238826751708984,46.53270721435547,16.42096710205078,31.539243698120117,21.256072998046875,13.983640670776367,15.172872543334961,39.06468200683594,21.672800064086914,16.316293716430664,6.994650363922119,30.862201690673828,24.398632049560547,26.173267364501953,,11.423470497131348,12.292949676513672
2004-06-01,0.4907000958919525,38.682960510253906,2.7200000286102295,33.30540466308594,35.481849670410156,23.796045303344727,,15.93561840057373,22.262968063354492,20.352113723754883,,69.69947052001953,21.759567260742188,22.126052856445312,46.3954963684082,15.898765563964844,31.698040008544922,22.369640350341797,13.746718406677246,14.942975997924805,41.7633171081543,21.764427185058594,17.76565933227539,7.446875095367432,31.165611267089844,24.927433013916016,24.969894409179688,,11.955330848693848,11.607809066772461
2004-07-01,0.4876843988895416,40.320438385009766,1.9459999799728394,32.636566162109375,35.245723724365234,22.01373291015625,3.243208646774292,14.066374778747559,22.627267837524414,18.435867309570312,,65.28032684326172,20.894235610961914,22.718032836914062,45.8270149230957,14.043909072875977,31.45332908630371,21.538789749145508,12.00207805633545,15.805069923400879,38.213844299316406,20.93951416015625,17.72210693359375,7.158164024353027,29.854658126831055,22.916030883789062,25.230623245239258,,12.731654167175293,11.72056770324707
2004-08-01,0.5201063752174377,42.028804779052734,1.906999945640564,32.4871940612793,36.26664352416992,21.8901309967041,3.240715503692627,12.614015579223633,23.064910888671875,17.924863815307617,,66.55065155029297,22.654014587402344,21.73343849182129,44.57439041137695,12.26393985748291,33.0638427734375,23.03905487060547,12.234676361083984,15.529212951660156,38.213844299316406,20.764057159423828,16.981876373291016,7.41412878036499,32.18916320800781,21.44475746154785,26.5262451171875,,13.106135368347168,11.645394325256348
2004-09-01,0.5843465328216553,40.27082824707031,2.0429999828338623,33.422447204589844,35.99505615234375,24.223674774169922,3.8963372707366943,12.170238494873047,25.590293884277344,18.004709243774414,,69.2156753540039,24.34650421142578,21.77749252319336,45.22258377075195,11.574560165405273,32.21965408325195,23.126358032226562,10.959489822387695,16.109689712524414,37.27547073364258,15.237129211425781,17.250329971313477,7.757717132568359,31.125179290771484,20.437118530273438,29.57879638671875,,13.149539947509766,11.790464401245117
2004-10-01,0.7901871800422668,40.26374053955078,1.7065000534057617,34.46812057495117,34.79568862915039,24.250778198242188,5.065487384796143,12.91658878326416,25.313600540161133,20.13652992248535,,73.03126525878906,25.51414680480957,20.45359230041504,47.33761978149414,12.84395694732666,33.3922233581543,22.468591690063477,11.191536903381348,16.753379821777344,36.15678024291992,14.580011367797852,17.44997215270996,8.015183448791504,29.434362411499023,21.12869644165039,29.04128074645996,,13.056044578552246,11.950026512145996
2004-11-01,1.0111079216003418,42.56046676635742,1.9839999675750732,36.2652473449707,37.35480880737305,27.706520080566406,4.352530002593994,12.607288360595703,26.048288345336914,21.461938858032227,,77.97850036621094,25.930282592773438,21.45562744140625,49.70582962036133,12.913198471069336,34.50186538696289,22.101900100708008,10.819957733154297,17.667205810546875,37.09835433959961,13.047968864440918,16.72626495361328,8.34540843963623,30.90289306640625,22.696542739868164,33.23302459716797,,13.897207260131836,11.537809371948242
