Date,AC.PA,ACA.PA,AI.PA,AIR.PA,BN.PA,BNP.PA,CA.PA,CAP.PA,CS.PA,DG.PA,DSY.PA,EDEN.PA,EL.PA,EN.PA,ENGI.PA,ERF.PA,GLE.PA,HO.PA,KER.PA,LR.PA,MC.PA,ML.PA,MT.AS,OR.PA,ORA.PA,PUB.PA,RI.PA,RMS.PA,RNO.PA,SAF.PA,SAN.PA,SGO.PA,STLA.PA,STM.PA,SU.PA,TEP.PA,TTE.PA,URW.PA,VIE.PA,VIV.PA
2004-01-01,4.494995594024658,-53.91716003417969,17.78314781188965,12.537688255310059,17.802459716796875,16.607763290405273,21.863492965698242,22.779464721679688,3.906585216522217,7.6349711418151855,3.006601572036743,,15.403876304626465,9.645100593566895,5.316227436065674,0.9808316230773926,27.99497413635254,18.011215209960938,38.31056213378906,,39.00429916381836,4.832699775695801,,44.032859802246094,6.683950901031494,15.228652000427246,27.361223220825195,39.31945037841797,31.216569900512695,13.203765869140625,26.04619598388672,22.177576065063477,,,14.021799087524414,11.81203842163086,11.72488784790039,,9.154576301574707,0.7111421227455139
2004-02-01,10.313640594482422,-56.85610580444336,18.826108932495117,13.363484382629395,18.36532974243164,16.906702041625977,23.73267936706543,21.37015724182129,3.906585216522217,8.262269973754883,2.972724437713623,,15.992338180541992,9.874983787536621,5.671698570251465,1.0722650289535522,28.0932674407959,18.880640029907227,41.075740814208984,,41.4294319152832,4.856481075286865,,45.76235580444336,6.223569869995117,15.039441108703613,31.205463409423828,41.42584228515625,32.429420471191406,12.737502098083496,25.044410705566406,22.898405075073242,,,14.39858341217041,12.453996658325195,12.180625915527344,,9.72042179107666,0.7750272154808044
2004-03-01,9.630154609680176,-58.36676788330078,18.284822463989258,12.60231876373291,17.46211814880371,16.50811195373535,21.874393463134766,19.877578735351562,3.6895527839660645,8.82740306854248,2.8626232147216797,,17.134653091430664,9.328597068786621,5.274965763092041,1.0805772542953491,27.326557159423828,19.201276779174805,40.20127868652344,,40.28422927856445,4.613656044006348,,43.09893798828125,5.844596862792969,13.336554527282715,31.284465789794922,43.16816329956055,32.5449333190918,12.78695011138916,24.202009201049805,22.280550003051758,,,14.264020919799805,11.747843742370605,12.379498481750488,,9.174782752990723,0.7252639532089233
2004-04-01,10.258146286010742,-56.52650833129883,19.288177490234375,15.151504516601562,18.29988670349121,16.64097785949707,21.095111846923828,18.910282135009766,3.906585216522217,9.177788734436035,2.8846435546875,,16.8923397064209,9.491844177246094,5.306704998016357,1.0972015857696533,27.326557159423828,19.108789443969727,40.69759750366211,,39.61058044433594,4.886521339416504,,43.514007568359375,5.650900840759277,13.5149507522583,33.27530288696289,43.22018051147461,35.95247268676758,12.857600212097168,24.133708953857422,22.827945709228516,,,15.125243186950684,10.977493286132812,12.785512924194336,,8.968653678894043,0.7057621479034424
2004-05-01,9.931007385253906,-55.372901916503906,19.116554260253906,14.612944602966309,18.574771881103516,16.773841857910156,22.45615005493164,20.695405960083008,3.6895527839660645,8.90652084350586,3.164130449295044,,18.207731246948242,9.66545295715332,5.094054698944092,1.1387619972229004,27.365873336791992,17.25278663635254,40.673954010009766,,39.543212890625,5.052993297576904,,44.30958557128906,5.4936981201171875,12.893266677856445,32.70649337768555,42.20597839355469,35.17277526855469,12.702174186706543,24.657365798950195,22.536731719970703,,,14.936851501464844,12.004627227783203,12.85180377960205,,8.79081916809082,0.7195479869842529
2004-06-01,10.604471206665039,-56.434349060058594,20.351150512695312,16.767229080200195,19.108413696289062,16.807056427001953,22.355243682861328,21.66057777404785,4.373519420623779,9.781148910522461,3.2276501655578613,,18.909931182861328,9.40903091430664,5.430483818054199,1.0722650289535522,29.04864501953125,19.293323516845703,39.91766357421875,,40.498023986816406,5.902431964874268,,45.93311309814453,6.090002536773682,13.152753829956055,33.5498161315918,42.6740837097168,37.49485778808594,13.095677375793457,24.175142288208008,22.39461326599121,,,15.554595947265625,12.518192291259766,13.44218921661377,,9.610721588134766,0.7666212916374207
2004-07-01,10.784829139709473,-55.305660247802734,20.14149284362793,16.78188705444336,18.281021118164062,16.778091430664062,22.215106964111328,18.167570114135742,4.130545616149902,9.987874984741211,3.198512315750122,,17.994369506835938,9.549209594726562,5.211488246917725,1.0805772542953491,28.362455368041992,18.5618839263916,40.104270935058594,,38.62470245361328,5.999830722808838,,41.66514587402344,5.851178169250488,12.174271583557129,31.76220703125,42.378150939941406,39.26178741455078,11.624736785888672,25.56718635559082,22.818805694580078,,,14.653485298156738,11.876233100891113,13.836793899536133,,9.183852195739746,0.6983650326728821
2004-08-01,10.607527732849121,-58.40955352783203,19.557470321655273,15.741260528564453,17.747270584106445,17.26340675354004,21.626514434814453,15.278615951538086,4.130545616149902,10.377703666687012,3.030214548110962,,17.74787139892578,9.67229175567627,5.055969715118408,1.0805772542953491,29.194202423095703,17.804779052734375,37.110679626464844,,35.831722259521484,5.6452956199646,,38.23677444458008,5.524217128753662,12.192363739013672,32.49707794189453,41.00428009033203,39.53132629394531,10.996368408203125,27.09843635559082,23.20099639892578,,,14.265314102172852,11.55099868774414,13.733854293823242,,8.78599739074707,0.6818894147872925
2004-09-01,9.592628479003906,-61.964935302734375,18.91353988647461,15.631340980529785,16.893259048461914,18.026044845581055,21.228511810302734,12.429058074951172,3.8875732421875,10.94472885131836,3.2302823066711426,,18.240867614746094,10.32531452178955,5.478094100952148,1.0805772542953491,29.630863189697266,17.19524383544922,36.59111785888672,,36.61512756347656,5.314136028289795,,36.907413482666016,5.703336715698242,12.642915725708008,34.25975036621094,40.34377670288086,39.44148254394531,11.003511428833008,27.09843635559082,23.229097366333008,,,14.431671142578125,10.702622413635254,14.068411827087402,,9.602431297302246,0.6936575770378113
2004-10-01,9.947232246398926,-64.81484985351562,18.958465576171875,16.37882423400879,17.507080078125,18.511362075805664,19.244121551513672,12.954325675964355,4.130545616149902,11.027412414550781,3.4157536029815674,,18.733863830566406,10.557807922363281,5.814525127410889,1.2135711908340454,30.2338809967041,18.13842010498047,36.541648864746094,,36.5810661315918,5.538805961608887,,37.39718246459961,6.380000591278076,12.846209526062012,34.77251434326172,39.947479248046875,39.29173278808594,10.189493179321289,26.61052131652832,24.195810317993164,,,14.390083312988281,11.289959907531738,13.982620239257812,,9.842799186706543,0.7198840379714966
