Date,AALB.AS,ABN.AS,AD.AS,ADYEN.AS,AGN.AS,AKZA.AS,ASML.AS,ASRNL.AS,GLPG.AS,HEIA.AS,IMCD.AS,INGA.AS,KPN.AS,MT.AS,NN.AS,PHIA.AS,RAND.AS,REL.L,TKWY.AS,UNA.AS,URW.AS,VPK.AS,WKL.AS
2004-01-01,3.8794867992401123,,,,5.202398300170898,15.428986549377441,17.537731170654297,,,19.707653045654297,,6.497359752655029,1.1261221170425415,,,12.256397247314453,10.778724670410156,281.13031005859375,,,,4.371837615966797,7.425711631774902
2004-02-01,3.9772894382476807,,,,5.0870747566223145,14.533272743225098,16.845745086669922,,,21.693010330200195,,6.377458572387695,1.0801926851272583,,,12.367684364318848,11.363055229187012,295.9031677246094,,,,4.452371597290039,7.7549052238464355
2004-03-01,3.8387346267700195,,,,4.442113399505615,14.008023262023926,16.91381072998047,,,20.678129196166992,,5.794154167175293,1.0801926851272583,,,11.902314186096191,10.479315757751465,287.3976135253906,,,,4.110103130340576,7.5066609382629395
2004-04-01,4.066940784454346,,,,4.664218902587891,14.256575584411621,15.064751625061035,,,22.327302932739258,,5.794154167175293,1.022355318069458,,,11.673808097839355,10.764235496520996,313.3620300292969,,,,4.170502662658691,7.58221435546875
2004-05-01,3.848662853240967,,,,4.314871788024902,14.208175659179688,16.289894104003906,,,17.370826721191406,,6.15665340423584,1.1192649602890015,,,11.493975639343262,10.416537284851074,319.027099609375,,,,3.87137770652771,7.822673320770264
2004-06-01,4.098576068878174,,,,4.306180000305176,14.584491729736328,15.779422760009766,,,17.31696891784668,,6.456166744232178,1.179561972618103,,,11.370659828186035,11.01053237915039,325.0921936035156,,,,4.045673847198486,8.372617721557617
2004-07-01,4.348489761352539,,,,4.1484293937683105,13.295042037963867,13.465254783630371,,,16.68866539001465,,6.41623067855835,1.1569504737854004,,,10.348174095153809,11.1131591796875,295.3730163574219,,,,4.28453254699707,7.84512186050415
2004-08-01,4.5400896072387695,,,,3.920156955718994,13.406559944152832,11.91113567352295,,,15.925721168518066,,6.672480583190918,1.1889832019805908,,,9.73160171508789,12.251842498779297,298.40545654296875,,,,4.180031776428223,7.575758934020996
2004-09-01,4.873307228088379,,,,3.9072840213775635,13.784757614135742,11.752321243286133,,,15.541035652160645,,6.936182498931885,1.1512233018875122,,,9.47469425201416,14.250648498535156,296.18646240234375,,,,4.174060344696045,7.603817462921143
2004-10-01,4.863310813903809,,,,3.862269401550293,14.298710823059082,12.671178817749023,,,15.902113914489746,,7.082963466644287,1.1970431804656982,,,9.531213760375977,12.906709671020508,297.1025390625,,,,4.257660388946533,8.019082069396973
2004-11-01,5.139880657196045,,,,4.186376094818115,15.246110916137695,13.09090518951416,,,15.359987258911133,,7.065897464752197,1.2466809749603271,,,9.967954635620117,14.12358570098877,293.4381103515625,,,,4.851822853088379,8.10325813293457
2004-12-01,5.947933673858643,,,,4.514983654022217,15.373488426208496,13.397192001342773,,,15.831114768981934,,7.598397254943848,1.3345030546188354,,,10.024473190307617,14.148018836975098,293.4381103515625,,,,4.678650379180908,8.288443565368652
2005-01-01,5.814647674560547,,,,4.681539058685303,15.691936492919922,14.213957786560059,,,16.947620391845703,,7.536955833435059,1.4070507287979126,,,10.3070707321167,14.661162376403809,294.6595764160156,,,,5.353426456451416,7.7609477043151855
2005-02-01,6.284483432769775,,,,4.906612873077393,16.68155860900879,15.847485542297363,,,16.63783836364746,,7.936331748962402,1.3955957889556885,,,10.733535766601562,16.410722732543945,323.3625793457031,,,,5.299683570861816,8.193044662475586
2005-03-01,6.6393585205078125,,,,4.68604040145874,17.254756927490234,14.781153678894043,,,17.250947952270508,,7.953399181365967,1.3173201084136963,,,10.712979316711426,16.78214454650879,334.9656677246094,,,,5.451956748962402,7.906847953796387
2005-04-01,6.14453125,,,,4.343928337097168,15.530264854431152,12.603117942810059,,,15.863384246826172,,7.202434539794922,1.231407880783081,,,9.82408618927002,15.345348358154297,312.3695983886719,,,,5.50868558883667,7.716053485870361
2005-05-01,6.0740647315979,,,,4.778292655944824,16.073240280151367,14.815181732177734,,,16.779220581054688,,7.8907036781311035,1.2829551696777344,,,10.8491849899292,14.201777458190918,326.3759460449219,,,,5.550484657287598,8.316397666931152
2005-06-01,6.430365085601807,,,,4.925458908081055,16.41072654724121,14.76980972290039,,7.099999904632568,16.635927200317383,,8.203103065490723,1.3804203271865845,,,10.948720932006836,14.28795337677002,332.2818298339844,,,,6.401735782623291,9.226183891296387
2005-07-01,7.4941725730896,,,,5.435940742492676,17.184120178222656,16.369300842285156,,7.579999923706055,17.098390579223633,,8.768230438232422,1.4281580448150635,,,11.729273796081543,16.824371337890625,326.9976806640625,,,,6.779211521148682,9.354490280151367
2005-08-01,7.125998497009277,,,,5.228986740112305,16.809452056884766,15.405067443847656,,7.989999771118164,18.478551864624023,,8.262775421142578,1.5700154304504395,28.52583885192871,,11.179215431213379,15.408575057983398,323.2679443359375,,,,7.165891647338867,8.864603996276855
2005-09-01,7.473815441131592,,,,5.785935878753662,18.36381721496582,15.495819091796875,,9.489999771118164,18.845441818237305,,8.898065567016602,1.5572580099105835,30.146913528442383,,11.582592010498047,15.978897094726562,328.2757568359375,,,,7.208858013153076,9.027899742126465
2005-10-01,6.885071754455566,,,,5.879636764526367,18.222057342529297,15.994953155517578,,8.449999809265137,18.760269165039062,,8.635934829711914,1.6574560403823853,26.57805061340332,,11.420195579528809,15.978897094726562,322.9558410644531,,,,7.178169250488281,9.022066116333008
