Date,AGNC,AXON,BCG,BSBK,CEAD,CMRX,CVCO,FNKO,FNLC,IFRX,KLXE,MSBI,NMRA,NMRK,NVCR,NVCT,NVEC,NVEI,OPTN,OPTX,SCNI,SCOR,SDA,SLAB,STRR,STRS,STRT,TWST,UONEK,ZPTA
2004-01-01,,11.1274995803833,,,,,15.75,,6.497668743133545,,,,,,,,31.131397247314453,,,,,,,51.25,,10.527721405029297,50.64025115966797,,18.43000030517578,
2004-02-01,,13.612500190734863,,,,,18.8799991607666,,6.473581790924072,,,,,,,,23.779232025146484,,,,,,,56.369998931884766,,10.44383430480957,52.51314163208008,,18.219999313354492,
2004-03-01,,19.587499618530273,,,,,18.424999237060547,,6.473581790924072,,,,,,,,26.4966983795166,,,,,,,52.880001068115234,,11.064592361450195,50.89748001098633,,18.5,
2004-04-01,,16.174999237060547,,,,,19.774999618530273,,7.013045787811279,,,,,,,,20.07258415222168,,,,,,,47.150001525878906,,10.603219032287598,51.44407272338867,,18.959999084472656,
2004-05-01,,14.21500015258789,,,,,18.969999313354492,,7.469913482666016,,,,,,,,17.50515365600586,,,,,,,52.189998626708984,,10.435445785522461,46.73373031616211,,17.290000915527344,
2004-06-01,,21.614999771118164,,,,,19.84000015258789,,7.940937519073486,,,,,,,,22.200986862182617,,,,,,,46.349998474121094,,10.863265991210938,55.00497817993164,,16.010000228881836,
2004-07-01,,15.645000457763672,,,,,19.795000076293945,,7.045038223266602,,,,,,,,18.42209815979004,,,,,,,35.290000915527344,337.7574768066406,11.458858489990234,51.44407272338867,,15.210000038146973,
2004-08-01,,13.795000076293945,,,,,19.149999618530273,,7.577012538909912,,,,,,,,18.33873748779297,,,,,,,32.790000915527344,339.6133117675781,10.955540657043457,49.98915481567383,,15.600000381469727,
2004-09-01,,18.774999618530273,,,,,18.8799991607666,,7.884186267852783,,,,,,,,18.366525650024414,,,,,,,33.09000015258789,387.1220397949219,11.114924430847168,50.04542922973633,,14.229999542236328,
2004-10-01,,20.450000762939453,,,,,19.954999923706055,,7.3927001953125,,,,,,,,17.099489212036133,,,,,,,29.969999313354492,373.76019287109375,12.75070571899414,50.567909240722656,,14.6899995803833,
2004-11-01,,27.440000534057617,,,,,20.125,,7.215210437774658,,,,,,,,16.365936279296875,,,,,,,30.139999389648438,347.0364685058594,12.45710563659668,50.64025115966797,,13.949999809265137,
2004-12-01,,31.649999618530273,,,,,22.5,,7.190485954284668,,,,,,,,15.476780891418457,,,,,,,35.310001373291016,328.4783630371094,13.446962356567383,50.33479690551758,,16.1200008392334,
2005-01-01,,17.979999542236328,,,,,23.860000610351562,,7.1080708503723145,,,,,,,,17.143943786621094,,,,,,,34.099998474121094,280.22735595703125,13.438573837280273,46.54081344604492,,15.699999809265137,
2005-02-01,,13.010000228881836,,,,,26.829999923706055,,7.262261867523193,,,,,,,,12.531471252441406,,,,,,,35.099998474121094,286.53704833984375,13.665066719055176,44.6518440246582,,13.670000076293945,
2005-03-01,,12.0,,,,,24.18000030517578,,7.054770469665527,,,,,,,,10.569785118103027,,,,,,,29.709999084472656,287.65057373046875,13.421795845031738,43.068328857421875,,14.75,
2005-04-01,,8.640000343322754,,,,,26.5,,7.034018516540527,,,,,,,,6.668631553649902,,,,,,,25.399999618530273,214.1604766845703,14.8226957321167,41.57323455810547,,13.069999694824219,
2005-05-01,,11.34000015258789,,,,,26.90999984741211,,7.080883026123047,,,,,,,,11.097715377807617,,,,,,,27.729999542236328,196.71588134765625,13.992223739624023,40.69707489013672,,12.600000381469727,
2005-06-01,,10.039999961853027,,,,,28.18000030517578,,7.105965614318848,,,,,,,,8.65255069732666,,,,,,,26.209999084472656,201.91213989257812,14.931748390197754,43.77567672729492,,12.770000457763672,
2005-07-01,,9.720000267028809,,,,,30.5,,7.523961544036865,,,,,,,,9.05822467803955,,,,,,,29.270000457763672,181.869384765625,15.183406829833984,51.41995620727539,,13.210000038146973,
2005-08-01,,8.649999618530273,,,,,33.540000915527344,,8.123697280883789,,,,,,,,8.01902961730957,,,,,,,31.030000686645508,185.20985412597656,15.46023178100586,41.57323455810547,,13.979999542236328,
2005-09-01,,6.170000076293945,,,,,36.279998779296875,,8.106854438781738,,,,,,,,8.485833168029785,,,,,,,30.389999389648438,179.27125549316406,15.728666305541992,41.67774200439453,,13.149999618530273,
2005-10-01,,6.150000095367432,,,,,39.459999084472656,,7.791001319885254,,,,,,,,7.596687316894531,,,,,,,32.16999816894531,160.7131805419922,15.938383102416992,38.11683654785156,,11.800000190734863,
2005-11-01,,6.099999904632568,,,,,39.2599983215332,,7.782410144805908,,,,,,,,8.474719047546387,,,,,,,38.849998474121094,143.26852416992188,16.777244567871094,39.025146484375,,11.0600004196167,
2005-12-01,,6.960000038146973,,,,,38.279998779296875,,7.455847263336182,,,,,,,,8.11350154876709,,,,,,,36.65999984741211,149.2071533203125,19.570655822753906,32.49013900756836,,10.350000381469727,
2006-01-01,,9.4399995803833,,,,,42.400001525878906,,7.460086345672607,,,,,,,,9.391654968261719,,,,,,,49.22999954223633,148.46481323242188,19.763593673706055,33.91289520263672,,10.949999809265137,
2006-02-01,,9.5600004196167,,,,,46.04999923706055,,7.498455047607422,,,,,,,,9.213826179504395,,,,,,,47.97999954223633,146.6090087890625,19.906200408935547,32.52228927612305,,8.34000015258789,
2006-03-01,,10.59000015258789,,,,,48.59000015258789,,7.519834995269775,,,,,,,,8.902624130249023,,,,,,,54.95000076293945,158.8573455810547,20.5521240234375,29.97420883178711,,7.460000038146973,
