Date,AAPL,ABBV,ABT,ACN,ADBE,AIG,AMD,AMGN,AMT,AMZN,AVGO,AXP,BA,BAC,BK,BKNG,BLK,BMY,BRK-B,C,CAT,CHTR,CL,CMCSA,COF,COP,COST,CRM,CSCO,CVS,CVX,DE,DHR,DIS,DOW,DUK,EMR,F,FDX,GD,GE,GILD,GM,GOOG,GOOGL,GS,HD,HON,IBM,INTC,INTU,JNJ,JPM,KHC,KO,LIN,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,META,MMM,MO,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PM,PYPL,QCOM,RTX,SBUX,SCHW,SO,SPG,T,TGT,TMO,TMUS,TSLA,TXN,UNH,UNP,UPS,USB,V,VZ,WFC,WMT,XOM
2014-01-01,15.614738464355469,31.781818389892578,29.774669647216797,66.28530883789062,59.189998626708984,37.68202590942383,3.430000066757202,89.06126403808594,64.30769348144531,17.934499740600586,4.124529838562012,72.8132553100586,107.05615234375,13.664481163024902,24.555721282958984,1139.3450927734375,230.14161682128906,36.233917236328125,111.5999984741211,36.598323822021484,70.30831146240234,137.0,47.710575103759766,21.81067657470703,57.844120025634766,45.65492248535156,90.12317657470703,60.35708236694336,15.644835472106934,51.49571990966797,71.84893035888672,70.32478332519531,30.48246192932129,66.30120849609375,,45.354454040527344,48.97093200683594,8.76009464263916,116.7770004272461,79.94917297363281,100.2359619140625,58.6251220703125,27.313249588012695,29.380565643310547,29.51992416381836,134.4054718017578,60.23918533325195,70.06653594970703,107.98206329345703,18.24922752380371,66.82909393310547,66.34510040283203,41.14921951293945,,27.105180740356445,101.99369812011719,43.280765533447266,113.12199401855469,38.219871520996094,70.8475570678711,71.42778015136719,26.42572593688965,44.30006790161133,30.510974884033203,62.441688537597656,75.50369262695312,18.429767608642578,36.68763732910156,22.436399459838867,31.690231323242188,17.502361297607422,58.47571563720703,32.38521957397461,0.37025076150894165,31.283689498901367,59.350040435791016,19.076988220214844,56.40156936645508,45.76148223876953,,54.906436920166016,55.70795822143555,29.19791603088379,21.862905502319336,25.90091896057129,88.44852447509766,11.32321834564209,42.019771575927734,111.37532806396484,30.200910568237305,12.093999862670898,31.728565216064453,61.52988052368164,69.17732238769531,68.4750747680664,28.190183639526367,49.93584442138672,28.235214233398438,33.281227111816406,19.982460021972656,58.441898345947266
2014-02-01,16.41450309753418,33.1267204284668,32.48931884765625,69.16475677490234,68.62999725341797,39.1041374206543,3.7100000381469727,92.85733795166016,64.77678680419922,18.104999542236328,4.657456874847412,78.37618255615234,110.18424224853516,13.485005378723145,24.701452255249023,1342.3072509765625,233.4888153076172,38.989349365234375,115.77999877929688,37.5320930480957,73.0737075805664,126.7699966430664,49.21577453613281,20.705123901367188,60.15426254272461,46.74445343017578,93.68443298339844,62.19182205200195,15.685165405273438,55.84314727783203,74.23037719726562,70.3001937866211,31.342975616455078,73.78872680664062,,45.52141571044922,48.4659309387207,9.084123611450195,116.78572845458984,86.95133209228516,101.59211730957031,60.1806640625,27.404088973999023,30.243345260620117,30.386798858642578,136.31361389160156,64.2995376586914,72.53189849853516,113.17094421386719,18.412830352783203,71.47582244873047,69.0822982788086,42.51065444946289,,27.377532958984375,106.6141586303711,47.768333435058594,121.65989685058594,41.46273422241211,72.8542251586914,72.1711196899414,27.450172424316406,46.41482925415039,31.5186767578125,68.31961059570312,79.3557357788086,18.973976135253906,39.471923828125,23.456098556518555,32.08384323120117,17.399547576904297,63.66143035888672,34.8079948425293,0.433452844619751,33.26282501220703,59.1358642578125,20.150068283081055,58.34129333496094,47.383689880371094,,55.69800567626953,57.17372131347656,29.132219314575195,23.351547241210938,26.931995391845703,92.13294219970703,11.043292999267578,46.39684295654297,120.4679946899414,30.131755828857422,16.320667266845703,33.88117980957031,65.7776870727539,71.61502075195312,68.86332702636719,29.190645217895508,52.37202453613281,28.2805233001709,34.07400131225586,19.987812042236328,61.048160552978516
2014-03-01,16.842241287231445,33.44554901123047,31.452089309692383,66.15253448486328,65.73999786376953,39.29270553588867,4.010000228881836,92.81885528564453,65.0948257446289,16.818500518798828,4.862023830413818,77.30289459228516,107.85765075683594,14.031582832336426,27.24107551574707,1186.117431640625,240.87242126464844,37.66965103149414,124.97000122070312,36.73714828491211,74.88227081298828,123.19999694824219,50.81373596191406,20.044193267822266,63.48733901977539,49.97947311401367,89.81985473632812,56.926910400390625,16.13125991821289,57.15637969970703,77.21442413330078,74.2844467163086,30.7324161529541,73.11304473876953,,46.24568557739258,49.94025802612305,9.208078384399414,116.11128234863281,86.45919036865234,104.16962432861328,51.508670806884766,26.05658531188965,27.74068260192871,27.858667373657227,134.63735961914062,62.02634811401367,71.585205078125,118.28965759277344,19.376697540283203,71.0916748046875,74.19438934326172,45.4210205078125,,27.70720672607422,107.10487365722656,47.59514236450195,123.38489532470703,40.5262565612793,70.02328491210938,74.98904418945312,27.869626998901367,48.20061492919922,33.036678314208984,60.1164665222168,80.42850494384766,19.586212158203125,39.319557189941406,23.737878799438477,34.585693359375,18.35006332397461,50.290000915527344,32.93500900268555,0.4242759943008423,34.793704986572266,61.669071197509766,20.324419021606445,59.78017044067383,47.945884704589844,,58.33901596069336,57.385501861572266,30.239734649658203,24.133865356445312,27.943138122558594,94.42230224609375,12.129295349121094,45.23289108276367,116.30858612060547,32.63120651245117,13.896666526794434,35.53907012939453,69.79568481445312,74.8866958618164,70.51741027832031,30.411062240600586,50.12571334838867,28.274595260620117,36.757320404052734,20.450719833374023,62.38103485107422
2014-04-01,18.516284942626953,33.888038635253906,31.63994598388672,66.56745147705078,61.689998626708984,41.846126556396484,4.090000152587891,84.09686279296875,66.40672302246094,15.206500053405762,4.813826084136963,75.07046508789062,110.89163970947266,12.358447074890137,26.144948959350586,1152.142822265625,232.00502014160156,36.32094192504883,128.85000610351562,36.97639083862305,79.42630767822266,135.52999877929688,52.717193603515625,20.827720642089844,60.80500411987305,52.79281234741211,93.03691101074219,51.5024528503418,16.627716064453125,55.522457122802734,81.50662994384766,76.80587768554688,30.109050750732422,72.44646453857422,,48.3690185546875,50.971946716308594,9.532722473144531,119.47391510009766,86.87989044189453,108.19316101074219,57.05498123168945,26.33374786376953,26.231050491333008,26.713340759277344,131.32586669921875,62.682735443115234,71.6932373046875,120.73551177978516,20.037351608276367,69.28079223632812,76.505615234375,41.882205963134766,,29.465370178222656,107.29376220703125,47.789215087890625,124.06510925292969,38.04827117919922,68.9453125,77.55165100097656,28.875244140625,46.0701904296875,32.75511169433594,59.657405853271484,82.46204376220703,21.266279220581055,40.875919342041016,23.55510139465332,34.08787536621094,19.161827087402344,46.005714416503906,32.52922439575195,0.4375419616699219,34.7681884765625,63.883018493652344,19.79290008544922,61.22648620605469,50.622459411621094,,58.5,58.11730194091797,29.10234832763672,23.44507598876953,29.145063400268555,99.71923065185547,12.347184181213379,46.15982437133789,110.40351104736328,28.936365127563477,13.859333038330078,34.25044250488281,64.11015319824219,75.99208068847656,71.32844543457031,29.091100692749023,47.048866271972656,27.77530860900879,36.683414459228516,21.465961456298828,65.40177154541016
2014-05-01,19.862754821777344,35.66845703125,32.87126541137695,68.40061950683594,64.54000091552734,42.586483001708984,4.0,87.28765869140625,71.54863739013672,15.6274995803833,5.35737419128418,78.76378631591797,116.24629211425781,12.358447074890137,26.81263542175293,1272.4373779296875,235.0111541748047,36.319217681884766,128.33999633789062,36.71399688720703,77.4910888671875,143.13999938964844,53.86751174926758,21.004772186279297,64.9107894897461,56.79259490966797,93.31036376953125,52.47964859008789,17.86556053161621,60.02143096923828,79.7339096069336,75.020263671875,32.18115997314453,76.710693359375,,46.154781341552734,49.887935638427734,9.77973461151123,126.4100341796875,94.31167602539062,107.79080963134766,59.032169342041016,26.410123825073242,27.886119842529297,28.549734115600586,131.31756591796875,63.25035095214844,71.88613891601562,113.29364013671875,20.51032066345215,72.703125,76.63401794433594,41.837501525878906,,29.552059173583984,108.68268585205078,48.403770446777344,123.69476318359375,39.16856384277344,71.77310943603516,77.58991241455078,30.470876693725586,48.01940155029297,31.86662483215332,63.170188903808594,84.51337432861328,22.03506851196289,40.387298583984375,23.578901290893555,34.54350280761719,18.683979034423828,59.689998626708984,34.2950439453125,0.45009732246398926,35.844303131103516,65.69786834716797,18.748836517333984,60.39982986450195,52.465328216552734,,59.79320526123047,57.08099365234375,30.18204689025879,22.26178550720215,27.841386795043945,101.87649536132812,12.481836318969727,42.42966842651367,113.22173309326172,33.9155158996582,13.851332664489746,35.63410949707031,68.0315933227539,79.51972961425781,75.22434997558594,30.09695816040039,49.88652801513672,30.02585792541504,37.52585220336914,20.674222946166992,64.20112609863281
2014-06-01,20.52620506286621,37.053707122802734,33.60245895385742,67.88836669921875,72.36000061035156,42.98817443847656,4.190000057220459,89.56770324707031,71.8280258178711,16.23900032043457,5.463504791259766,81.66473388671875,109.96673583984375,12.546191215515137,29.078048706054688,1197.173583984375,246.34158325195312,35.42108154296875,126.55999755859375,36.35884094238281,82.37265014648438,158.3800048828125,53.69425582885742,21.600313186645508,68.23121643066406,61.44586944580078,92.90229034423828,57.914085388183594,18.032474517822266,57.760677337646484,85.49652099609375,74.51009368896484,32.30424499511719,78.2903823852539,,48.703914642333984,49.92572021484375,10.255633354187012,132.74105834960938,93.05815124511719,105.73880004882812,60.26789855957031,27.7237606048584,28.652639389038086,29.199987411499023,138.056640625,63.825828552246094,72.08484649658203,112.04331970214844,23.397314071655273,73.8401107788086,79.57154083251953,43.38090515136719,,30.599489212036133,109.1758041381836,50.68967056274414,122.49276733398438,39.9256477355957,68.97541809082031,77.68326568603516,30.46278190612793,50.16740798950195,35.008949279785156,67.15200805664062,85.4433822631836,22.236543655395508,40.38031768798828,24.702072143554688,35.432979583740234,19.8140869140625,62.94285583496094,34.68958282470703,0.4412231147289276,34.573280334472656,66.44904327392578,18.947864532470703,58.75507736206055,49.95880889892578,,58.864173889160156,56.9859504699707,32.00545883178711,23.835901260375977,29.19330596923828,102.52979278564453,12.443123817443848,43.63923263549805,114.27734375,33.214080810546875,16.003999710083008,36.248504638671875,69.84281921386719,79.61150360107422,74.83223724365234,30.903057098388672,49.022274017333984,29.40682601928711,39.12017059326172,20.34157371520996,64.73343658447266
2014-07-01,21.115951538085938,34.36199188232422,34.60478591918945,66.57829284667969,69.25,41.03369903564453,3.9100000858306885,96.39289855957031,75.63982391357422,15.649499893188477,5.281188488006592,75.75096130371094,104.13262939453125,12.456246376037598,30.28833770751953,1236.4324951171875,236.34803771972656,36.96177673339844,125.43000030517578,37.756072998046875,76.36922454833984,154.52000427246094,49.9298210144043,21.710674285888672,65.70352935791016,59.13079833984375,94.82231903076172,54.09502029418945,18.3082218170166,58.51938247680664,84.63860321044922,70.49988555908203,30.35251235961914,78.418212890625,,47.35154724121094,47.88685989379883,10.124762535095215,128.98007202148438,93.23377990722656,102.02691650390625,66.54837799072266,26.04511070251465,28.469350814819336,28.94428253173828,142.5337371826172,64.11186218261719,71.21627044677734,118.47154235839844,25.661331176757812,75.16050720214844,76.12610626220703,43.41855239868164,,28.59527015686035,105.82763671875,49.78465270996094,127.24830627441406,39.80916213989258,69.61382293701172,72.91767883300781,29.28541374206543,48.57804489135742,33.14381790161133,72.50101470947266,84.0416488647461,21.771442413330078,39.904083251953125,24.709707260131836,36.67355728149414,18.153242111206055,60.388572692871094,34.501708984375,0.41647273302078247,34.4538459777832,66.01689910888672,18.322229385375977,57.80561065673828,49.10634994506836,,55.07878494262695,51.90188980102539,32.12954330444336,24.56168556213379,27.848796844482422,103.70747375488281,12.524065017700195,44.87424087524414,117.8139419555664,32.542293548583984,14.886667251586914,35.080413818359375,69.5701904296875,78.81317901611328,70.77208709716797,30.153182983398438,49.09206771850586,30.302318572998047,37.8846435546875,19.93783187866211,63.61469268798828
2014-08-01,22.640016555786133,36.567440032958984,34.88949203491211,68.07315063476562,71.9000015258789,44.254520416259766,4.170000076293945,105.46546936035156,79.0135269165039,16.95199966430664,6.2486701011657715,77.2977523803711,109.5950927734375,13.142359733581543,30.52744483947754,1238.2835693359375,256.3583984375,37.260196685791016,137.25,39.879188537597656,83.19864654541016,156.8699951171875,51.242069244384766,22.110706329345703,67.7851333618164,58.7077522277832,97.97422790527344,58.92119598388672,18.272491455078125,61.105587005615234,84.776123046875,69.65497589111328,31.474090576171875,82.07067108154297,,48.57261276245117,48.16522216796875,10.430971145629883,129.85816955566406,98.93397521972656,105.39401245117188,78.18619537353516,26.799819946289062,28.469350814819336,29.084619522094727,147.67869567871094,74.1429672241211,73.85301971435547,118.8609848022461,26.441232681274414,76.44884490966797,78.89461517333984,45.07156753540039,,30.363834381103516,108.64385986328125,51.82300567626953,132.60577392578125,43.89727020263672,71.27442932128906,72.26994323730469,29.423620223999023,50.479698181152344,34.49225997924805,74.66656494140625,85.8967514038086,23.101320266723633,42.27412796020508,26.294418334960938,38.60240936279297,19.0349063873291,68.23428344726562,35.13690185546875,0.4628796875476837,35.52944564819336,69.3065185546875,18.928264617919922,62.630672454833984,51.244014739990234,,56.85698318481445,53.29877853393555,32.183326721191406,25.234365463256836,28.90479850769043,104.84207916259766,12.513957977294922,45.23569107055664,116.56304931640625,29.716825485229492,17.979999542236328,36.77732467651367,74.40276336669922,84.39287567138672,70.9470443725586,30.33254051208496,49.4433708190918,30.264135360717773,38.28656768798828,20.458091735839844,63.94904327392578
2014-09-01,22.36416244506836,38.20793914794922,34.35261154174805,68.29145050048828,69.19000244140625,42.64411163330078,3.4100000858306885,106.79434967041016,75.03079223632812,16.121999740600586,6.622420310974121,75.562744140625,110.76314544677734,13.926491737365723,30.17682647705078,1152.96875,256.1263122558594,37.650081634521484,138.13999938964844,40.01044845581055,75.54011535644531,151.3699951171875,51.62996292114258,21.730886459350586,67.67951202392578,55.31047058105469,101.40509033203125,57.36565399169922,18.40410804748535,61.213233947753906,78.80620574951172,67.91548156738281,31.21526336669922,81.29452514648438,,49.637489318847656,47.40712356567383,8.861233711242676,141.77447509765625,102.01637268066406,103.93359375,77.37931060791016,24.597305297851562,28.756237030029297,29.38677215576172,151.82545471191406,72.74735260009766,72.55943298339844,118.0281753540039,26.5408992767334,80.55707550048828,81.61821746826172,45.67050552368164,,31.04796600341797,106.53790283203125,53.30036544799805,140.3546142578125,44.240028381347656,69.49754333496094,73.7415542602539,27.862600326538086,48.97756576538086,34.08039474487305,78.87791442871094,85.01676940917969,24.634984970092773,41.690399169921875,26.49367332458496,39.63868713378906,18.288400650024414,64.45428466796875,40.02132034301758,0.441023588180542,32.749019622802734,69.75611114501953,19.044189453125,63.10542297363281,49.938663482666016,,56.172325134277344,52.418792724609375,31.31633949279785,26.07030487060547,28.416549682617188,102.17767333984375,12.614187240600586,47.626686096191406,118.00782775878906,28.52143669128418,16.178667068481445,36.403289794921875,74.03365325927734,87.33184814453125,72.14708709716797,30.00971221923828,49.735721588134766,30.367408752441406,38.876583099365234,20.857440948486328,60.891849517822266
2014-10-01,23.973495483398438,41.97846603393555,36.00457000732422,68.1235122680664,70.12000274658203,42.384647369384766,2.799999952316284,123.30848693847656,78.42650604248047,15.27299976348877,6.5893120765686035,77.64300537109375,108.6153793334961,14.059544563293457,30.16904067993164,1200.3680419921875,266.10406494140625,42.806915283203125,140.16000366210938,41.33074188232422,77.3555908203125,158.38999938964844,52.944053649902344,22.458431243896484,68.6330795288086,52.15174865722656,107.91890716552734,63.80719757080078,18.02863311767578,65.99710083007812,79.2222900390625,71.37123107910156,33.07387924194336,83.44035339355469,,54.53684616088867,48.52827072143555,8.441837310791016,147.19137573242188,112.18668365478516,105.58863067626953,81.41365051269531,24.3930721282959,27.845775604248047,28.360950469970703,157.13525390625,77.72142028808594,74.89707946777344,102.21688079833984,25.923490524291992,80.88798522949219,82.52941131591797,45.85245132446289,,30.70232391357422,104.56600952148438,54.51677703857422,146.33648681640625,47.818016052246094,78.73943328857422,72.90152740478516,28.79181671142578,53.88719940185547,34.41029739379883,74.83621978759766,92.27153015136719,26.232980728149414,41.04525375366211,26.78489875793457,40.14316940307617,19.523469924926758,56.11000061035156,41.712806701660156,0.4670785665512085,33.40776824951172,72.57813262939453,19.28893280029297,65.76559448242188,53.92452621459961,,58.98207092285156,53.1137580871582,31.357833862304688,25.431636810302734,30.18077278137207,111.36878204345703,12.47100830078125,46.97322463989258,114.14164733886719,28.83757209777832,16.113332748413086,37.90705871582031,81.89971160888672,93.7999496459961,77.00631713867188,30.74200439453125,56.276405334472656,30.52533531188965,39.79097366333008,20.80288314819336,62.61405563354492
