date,tic,popularity
2004-02-01,SPG,0.0
2004-02-01,T,0.62
2004-02-01,TGT,0.0
2004-02-01,TMO,0.02
2004-02-01,TMUS,0.0
2004-02-01,TSLA,0.0
2004-02-01,TXN,0.01
2004-02-01,UNH,0.01
2004-02-01,UNP,0.0
2004-02-01,UPS,0.29
2004-02-01,USB,0.89
2004-02-01,V,0.45
2004-02-01,VZ,0.0
2004-02-01,WFC,0.0
2004-02-01,WMT,0.0
2004-02-01,XOM,0.0
2004-03-01,AAPL,0.04
2004-03-01,ABBV,0.0
2004-03-01,ABT,0.41
2004-03-01,ACN,0.46
2004-03-01,ADBE,0.05
2004-03-01,AIG,0.1
2004-03-01,AMD,0.83
2004-03-01,AMGN,0.0
2004-03-01,AMT,0.25
2004-03-01,AMZN,0.0
2004-03-01,AVGO,0.0
2004-03-01,AXP,0.0
2004-03-01,BA,0.28
2004-03-01,BAC,0.18
2004-03-01,BK,0.06
2004-03-01,BKNG,0.0
2004-03-01,BLK,0.0
2004-03-01,BMY,0.0
2004-03-01,BRK-B,0.0
2004-03-01,C,0.91
2004-03-01,CAT,0.64
2004-03-01,CHTR,0.0
2004-03-01,CL,0.05
2004-03-01,CMCSA,0.0
2004-03-01,COF,0.0
2004-03-01,COP,0.04
2004-03-01,COST,0.51
2004-03-01,CRM,0.07
2004-03-01,CSCO,0.0
2004-03-01,CVS,0.13
2004-03-01,CVX,0.0
2004-03-01,DE,0.74
2004-03-01,DHR,0.0
2004-03-01,DIS,0.0
2004-03-01,DOW,0.06
2004-03-01,DUK,0.0
2004-03-01,EMR,0.0
2004-03-01,F,0.22
2004-03-01,FDX,0.0
2004-03-01,GD,0.02
2004-03-01,GE,0.1
2004-03-01,GILD,0.01
2004-03-01,GM,0.63
2004-03-01,GOOG,0.03
2004-03-01,GOOGL,0.02
2004-03-01,GS,0.3
2004-03-01,HD,0.03
2004-03-01,HON,0.0
2004-03-01,IBM,0.15
2004-03-01,INTC,0.0
2004-03-01,INTU,0.0
2004-03-01,JNJ,0.0
2004-03-01,JPM,0.0
2004-03-01,KHC,0.0
2004-03-01,KO,0.07
2004-03-01,LIN,0.07
2004-03-01,LLY,0.0
2004-03-01,LMT,0.0
2004-03-01,LOW,0.54
2004-03-01,MA,0.51
2004-03-01,MCD,0.01
2004-03-01,MDLZ,0.0
2004-03-01,MDT,0.01
2004-03-01,MET,0.34
2004-03-01,META,0.13
2004-03-01,MMM,0.02
2004-03-01,MO,0.27
2004-03-01,MRK,0.0
2004-03-01,MS,0.78
2004-03-01,MSFT,0.01
2004-03-01,NEE,0.01
2004-03-01,NFLX,0.0
2004-03-01,NKE,0.02
2004-03-01,NVDA,0.01
2004-03-01,ORCL,0.01
2004-03-01,PEP,0.48
2004-03-01,PFE,0.06
2004-03-01,PG,0.07
2004-03-01,PM,0.14
2004-03-01,PYPL,0.0
2004-03-01,QCOM,0.0
2004-03-01,RTX,0.01
2004-03-01,SBUX,0.0
2004-03-01,SCHW,0.0
2004-03-01,SO,0.3
2004-03-01,SPG,0.0
2004-03-01,T,0.61
2004-03-01,TGT,0.0
2004-03-01,TMO,0.02
2004-03-01,TMUS,0.0
2004-03-01,TSLA,0.0
2004-03-01,TXN,0.01
2004-03-01,UNH,0.01
2004-03-01,UNP,0.0
2004-03-01,UPS,0.29
2004-03-01,USB,0.87
2004-03-01,V,0.46
2004-03-01,VZ,0.0
2004-03-01,WFC,0.0
2004-03-01,WMT,0.0
2004-03-01,XOM,0.0
2004-04-01,AAPL,0.04
2004-04-01,ABBV,0.0
2004-04-01,ABT,0.42
2004-04-01,ACN,0.39
2004-04-01,ADBE,0.05
2004-04-01,AIG,0.11
2004-04-01,AMD,0.8
2004-04-01,AMGN,0.0
2004-04-01,AMT,0.22
2004-04-01,AMZN,0.0
2004-04-01,AVGO,0.0
2004-04-01,AXP,0.0
2004-04-01,BA,0.26
2004-04-01,BAC,0.19
2004-04-01,BK,0.06
2004-04-01,BKNG,0.0
2004-04-01,BLK,0.0
2004-04-01,BMY,0.0
2004-04-01,BRK-B,0.0
2004-04-01,C,0.92
2004-04-01,CAT,0.59
2004-04-01,CHTR,0.0
2004-04-01,CL,0.05
2004-04-01,CMCSA,0.0
2004-04-01,COF,0.0
2004-04-01,COP,0.04
2004-04-01,COST,0.53
2004-04-01,CRM,0.06
2004-04-01,CSCO,0.0
2004-04-01,CVS,0.13
2004-04-01,CVX,0.0
2004-04-01,DE,0.7
2004-04-01,DHR,0.0
2004-04-01,DIS,0.0
2004-04-01,DOW,0.06
2004-04-01,DUK,0.0
2004-04-01,EMR,0.0
2004-04-01,F,0.22
2004-04-01,FDX,0.0
2004-04-01,GD,0.02
2004-04-01,GE,0.1
2004-04-01,GILD,0.0
2004-04-01,GM,0.61
2004-04-01,GOOG,0.03
2004-04-01,GOOGL,0.02
2004-04-01,GS,0.29
2004-04-01,HD,0.03
2004-04-01,HON,0.0
2004-04-01,IBM,0.14
2004-04-01,INTC,0.0
2004-04-01,INTU,0.0
2004-04-01,JNJ,0.0
2004-04-01,JPM,0.0
2004-04-01,KHC,0.0
2004-04-01,KO,0.07
2004-04-01,LIN,0.07
2004-04-01,LLY,0.0
2004-04-01,LMT,0.0
2004-04-01,LOW,0.54
2004-04-01,MA,0.53
2004-04-01,MCD,0.01
2004-04-01,MDLZ,0.0
2004-04-01,MDT,0.01
2004-04-01,MET,0.35
2004-04-01,META,0.12
2004-04-01,MMM,0.02
2004-04-01,MO,0.29
2004-04-01,MRK,0.0
2004-04-01,MS,0.77
2004-04-01,MSFT,0.01
2004-04-01,NEE,0.01
2004-04-01,NFLX,0.0
2004-04-01,NKE,0.02
2004-04-01,NVDA,0.01
2004-04-01,ORCL,0.01
2004-04-01,PEP,0.47
2004-04-01,PFE,0.05
2004-04-01,PG,0.07
2004-04-01,PM,0.13
2004-04-01,PYPL,0.0
2004-04-01,QCOM,0.0
2004-04-01,RTX,0.01
2004-04-01,SBUX,0.0
