Date,SP100,MV,DRL_EIIE,DRL_TRANSFORMER
2018-03-01,-0.0370256352024671,0.0,-0.0138997898254481,-0.005577822563225254
2018-04-01,-0.0341225140175929,-0.1901603344311715,-0.0836240133203726,-0.07348593640498735
2018-05-01,-0.0098446421739128,0.0445635788025713,-0.091706486021426,-0.08014917328277293
2018-06-01,-0.0051428853886155,0.1606975831735784,-0.0677051757237275,-0.052513457666725105
2018-07-01,0.0344217941975084,0.1139047045635588,-0.0049133449447655,0.008601706126990738
2018-08-01,0.070773435652734,0.0521626997785562,0.0650662324714919,0.0749163989182644
2018-09-01,0.076500372460077,0.054276198540434,0.1487855068788046,0.15436934695624283
2018-10-01,0.0104940117920937,-0.1068335501882195,0.1238972145516257,0.12554851414200985
2018-11-01,0.0240193551363159,-0.2693325911582513,0.1009822479300954,0.09808612439661668
2018-12-01,-0.0668399822830654,-0.4388405916310487,-0.0244923999021512,-0.03296144248282595
2019-01-01,0.0030156192995625,0.1781592886492615,-0.0133757756340913,-0.0233934173677115
2019-02-01,0.029759370709971,0.3175709837150429,-0.0005574036205934,-0.007968397963645013
2019-03-01,0.0526517810306212,0.4206898889929946,0.1219262267527787,0.11702522201416254
2019-04-01,0.0955102057700578,0.3189746916845003,0.2128324625107696,0.2095626366765102
2019-05-01,0.0264173962279974,0.1491720917347548,0.1902690325098994,0.18767317398601646
2019-06-01,0.0942680818801193,0.2831813214166042,0.228238194509325,0.22899349846322714
2019-07-01,0.1093976469332316,0.1653292143540394,0.2395615153026125,0.23903297162242487
2019-08-01,0.0906366195328671,0.2272342184744999,0.3169968901365776,0.3143489118420586
2019-09-01,0.1083326493621597,0.0921317537225477,0.3357964224625116,0.3289681323461109
2019-10-01,0.1345710145137468,0.2374086567457455,0.3688382896355613,0.3588717049345167
2019-11-01,0.1707774473341068,0.3372372271017659,0.4796232369426549,0.4689883996731261
2019-12-01,0.201907938536566,0.4552396930795709,0.615656208978629,0.6032785360465729
2020-01-01,0.205055914748697,0.4198823158398943,0.7135005654248561,0.6998340804315082
2020-02-01,0.1205331627609229,0.2831346394516743,0.6080469838420808,0.5974011368591263
2020-03-01,0.0171301382988418,0.1187610485686175,0.28426127019947,0.27776498571908026
2020-04-01,0.1439028347135429,0.3671801617133018,0.1516200421832536,0.14797348418500333
2020-05-01,0.182474742904904,0.4925312523258606,0.1734374373777454,0.16856441812783807
2020-06-01,0.2095322873259517,0.7030148727627373,0.3883672017965751,0.38302944645921855
2020-07-01,0.2639734596005618,0.7569356687252095,0.53120159998575,0.52954456514495
2020-08-01,0.3530207129030418,1.067697476407166,0.7412416230941976,0.7452525699659358
2020-09-01,0.3052093298426426,0.8784957332125728,0.8985069763206146,0.9047527959114188
2020-10-01,0.2712924956328546,0.5751956806392703,0.9374148396428176,0.9427800134801212
2020-11-01,0.371527956562137,0.5286187022658821,1.0926303824673385,1.0924083713093267
2020-12-01,0.4087422658044719,0.7443335527568831,1.399049581752899,1.3981268483771077
2021-01-01,0.4024940821369334,0.8465725004074118,1.792055583035658,1.7852677303760078
2021-02-01,0.4151684754373062,0.5884997847703,1.9893343798865732,1.9694896669070512
2021-03-01,0.455863372775416,0.4724614118462709,2.262195998683843,2.231630072360371
2021-04-01,0.5107782122229576,0.5108509977129321,2.7242146956147177,2.694395129264327
2021-05-01,0.5127353008944551,0.5036701936336906,3.1811614699978,3.150689374845375
2021-06-01,0.5443437908939257,0.684517185062825,3.508037443945849,3.464027951102471
2021-07-01,0.5682654094204558,0.6672351351805793,3.754700907703568,3.678821495636811
2021-08-01,0.6017784810620614,0.7786855819488606,4.002481967413955,3.9060476449477157
2021-09-01,0.5528791963978653,0.6346851313360171,3.987973020199159,3.9024182284747138
2021-10-01,0.6259259479386364,0.9129617295951726,4.163578007344087,4.0863057762918364
2021-11-01,0.6238335605080102,0.9663331678711916,4.115038360993061,4.061844998246742
2021-12-01,0.6602301149535333,0.9099877008446304,4.5611258691328285,4.497177414818336
2022-01-01,0.613765658395518,0.5797763731920064,4.567068286674749,4.466756018391687
2022-02-01,0.5734093240059115,0.4258603500072622,4.508439147641243,4.3827511235530014
2022-03-01,0.6120466659008303,0.6503465362651626,4.302602624285079,4.138501023563062
2022-04-01,0.5131949081585614,0.5474785111715977,3.85680520954534,3.6463485540558755
2022-05-01,0.5089599176208505,0.5612325479646133,3.6712992823748047,3.4089203903622183
2022-06-01,0.4309522124137341,0.3172597728360132,3.033348090789344,2.761003553763034
2022-07-01,0.523661446729017,0.8871224039050364,3.0493380438027033,2.77488310153169
2022-08-01,0.4771826171652893,0.9648059954010508,2.864835467458096,2.6000380334275226
2022-09-01,0.3814124644455101,0.9967098138435418,2.6226317290622747,2.381033505124776
2022-10-01,0.4519948378036436,1.0237854237542492,2.494880096772556,2.2549686573506182
2022-11-01,0.5020031908577123,1.01169015087233,2.7207876794538777,2.472788910659426
2022-12-01,0.4372279443692667,1.048602933411786,3.1803156988940007,2.882217341467864
2023-01-01,0.4999016353204141,0.8913050149759031,3.5023006475816896,3.2046224609050498
2023-02-01,0.4785669370252006,0.7947767273079137,3.3970130113453116,3.1150574661871753
2023-03-01,0.5330692282556746,0.8178548527536446,3.5947753241929705,3.315974554234055
2023-04-01,0.5537155883374942,0.846511557405638,3.5615400239371997,3.2823297151299604
2023-05-01,0.576489876620647,0.8817057600388772,3.5780305221379702,3.306368996320411
2023-06-01,0.6366936147476308,0.940716751581811,3.78165717064296,3.5101686536754686
2023-07-01,0.6692848095666699,0.947750979838226,4.145213560468119,3.866055762422979
