Date,CAC40,MV,DRL_HYBRID_TRANSFORMER,DRL_EIIE
2018-03-01,0.9712074596626912,1.0,1.0006664252857542,0.99750158384306
2018-04-01,1.0395604116226482,1.091312174905087,1.0237483625981265,1.0138111292765866
2018-05-01,1.017442832117848,1.1692753024834788,1.0541484461880426,1.0316065006766046
2018-06-01,1.003573886033473,1.16667867837574,1.0753634849431086,1.0489141937972633
2018-07-01,1.0388455999355564,1.087017287421009,1.074175944171915,1.046521191040868
2018-08-01,1.019893681017552,1.065569661969471,1.0786009529676859,1.0540176778933732
2018-09-01,1.0359178235689253,1.1018389402149795,1.1192097041841929,1.0916306081734086
2018-10-01,0.9630952142803036,0.955432529938228,1.0473822346923516,1.0216161529444585
2018-11-01,0.9455196620874698,0.9161240804796046,0.9692260911284953,0.9482885685026337
2018-12-01,0.8909164740399742,0.8952876588492737,0.8411761234812399,0.823559375156894
2019-01-01,0.9463059154709232,1.1525933757920637,0.8248232658541567,0.8057254382741461
2019-02-01,0.9959400947657578,1.2636368085978984,0.8655906107934209,0.8420737292992404
2019-03-01,1.0169303389795343,1.3083229060505732,0.9707542306438893,0.9414842676619994
2019-04-01,1.0610157623983785,1.2726649761360291,1.0848375346489054,1.0493145421890768
2019-05-01,0.99321188426499,1.1256864264762725,1.0735125424145835,1.0352551322658308
2019-06-01,1.0568378214931369,1.198639753798835,1.1087133740428705,1.0675035307047065
2019-07-01,1.053214347865094,1.1198104919711185,1.0906388954688047,1.0488393680050232
2019-08-01,1.046252829708426,1.150037392860113,1.1432791242920706,1.0996227726541925
2019-09-01,1.0822551614926712,1.0758546738780097,1.1705402469549777,1.1268468880211795
2019-10-01,1.091425952215913,1.1853996121212615,1.2052123790855929,1.1609466026878794
2019-11-01,1.1220218241528852,1.239396903868829,1.2830456596935118,1.2345398711827107
2019-12-01,1.13436526857245,1.241371097442577,1.3386026236416841,1.2876088120105404
2020-01-01,1.1056401950267447,1.2025682522292584,1.369195027538054,1.3156890715983485
2020-02-01,1.0201405593241215,1.136927620907327,1.2588574556180006,1.2092633180602876
2020-03-01,0.8480507267544127,0.9387274692352138,0.9495430796124031,0.9037220114850604
2020-04-01,0.8880996912732411,0.967491518119898,0.752878134207497,0.7099848369582082
2020-05-01,0.9150583326404174,1.0067926159683884,0.6691583933219877,0.6235367724116441
2020-06-01,0.9662889512769124,1.3071469212229387,0.7508648801632578,0.698270772360347
2020-07-01,0.9354338876043576,1.3543223243423788,0.7893351123485927,0.7345622207194287
2020-08-01,0.9696188526502793,1.3401012010421536,0.8444881019873888,0.7890400574680143
2020-09-01,0.9405560118642358,1.3170217911069622,0.8357773603476809,0.7808054494702035
2020-10-01,0.8970039513444565,1.2490803000604895,0.8275951014616455,0.7681036458992209
2020-11-01,1.0981927275422347,1.3067051343563418,0.9295209678896166,0.861642969887091
2020-12-01,1.1041472541344544,1.287330508575684,1.0970963456950595,1.0156650952245
2021-01-01,1.076730761562536,1.3659503574368763,1.3111081365807085,1.2189138120238243
2021-02-01,1.1330371945602744,1.2812591472385888,1.4009524937177131,1.299615537448551
2021-03-01,1.1968624988467182,1.3649762847280873,1.5515410043028426,1.4410197488148584
2021-04-01,1.230197315666102,1.308772891822353,1.809559484049333,1.6766610049053443
2021-05-01,1.2585393698651437,1.3307442572261166,2.017757777647397,1.861042460044004
2021-06-01,1.2679481735704998,1.3227131360105544,2.155680129942297,1.973118903155675
2021-07-01,1.2840717794791274,1.3580102483769878,2.2715576649938893,2.0661912027867424
2021-08-01,1.2942672821959689,1.434944571225926,2.39114896205849,2.172739820316397
2021-09-01,1.2702903226018338,1.315613196577431,2.425290020381574,2.2070461013264864
2021-10-01,1.317886889061156,1.260056644377107,2.505637809161806,2.2772824648877186
2021-11-01,1.3019023714533091,1.2036205903749355,2.486712666040349,2.2325410320183945
2021-12-01,1.3661575921096203,1.323649419388678,2.6759225628446845,2.3822031660880736
2022-01-01,1.3446520770392127,1.167976997272753,2.7144699878427416,2.4176190847290133
2022-02-01,1.2960222182425674,1.1868308784314736,2.73112754019381,2.458320237743549
2022-03-01,1.2961784077008205,1.1567178646633782,2.607371852124818,2.357124129931775
2022-04-01,1.2772440898481618,1.2715762860175404,2.5107724538877148,2.2754311492309087
2022-05-01,1.2673003338467206,1.3049765597927734,2.4342800832468505,2.2124159378857025
2022-06-01,1.1829044709525491,1.107479564240489,2.154451084028779,1.962855824640301
2022-07-01,1.27165216190797,1.2190475418227606,2.0796280321245364,1.882855183547601
2022-08-01,1.2215009790989833,1.2381255561649822,1.9651774891104095,1.7651740571923182
2022-09-01,1.162275783082177,1.3536805483119951,1.904480320619527,1.6992736029014384
2022-10-01,1.2498149059835049,1.308528398139933,1.8591027190209855,1.6585317510282491
2022-11-01,1.3250976726537167,1.3609501839393074,1.9989778970778342,1.7754336410985072
2022-12-01,1.285802861939651,1.4200891171757983,2.2183356951944027,1.9650623484341885
2023-01-01,1.3798224391692424,1.3519824376431215,2.4792280778332674,2.1826384167187065
2023-02-01,1.406015499726592,1.3604090709877137,2.719156012472843,2.3924884870098695
2023-03-01,1.4135086868679565,1.3923315571538335,3.0552729770502407,2.6731071950198424
2023-04-01,1.43660358622783,1.4064145786627291,3.204906434564765,2.79377334974926
2023-05-01,1.3841708551743026,1.356397387559229,3.0797873429093556,2.6695538592608283
2023-06-01,1.4266236782249573,1.3741260284723982,3.119368881352556,2.6985847254816697
2023-07-01,1.439828939505103,1.3484706243792064,3.1303621363537903,2.705976398147032
2023-08-01,1.415677844776735,1.3727482353783431,3.239351833935002,2.8039481076583637
