Date,DJIA,MV,DRL_EIIE,DRL_HYBRID_TRANSFORMER
2018-03-01,0.9629996215357844,1.0,0.9949976220739748,1.0054227335917993
2018-04-01,0.965490628595947,0.9143344594668712,0.9477259661576468,0.963225701708773
2018-05-01,0.975948265495109,0.9702847142066748,0.944888581703464,0.9638128229316983
2018-06-01,0.9700328561369104,0.9816988875036982,0.9699441369457772,0.9954646920793463
2018-07-01,1.0171574067712488,1.0258198630618138,1.0242618203244995,1.0546410597250735
2018-08-01,1.038783484372941,1.028929925262223,1.1057976739356865,1.1456346487725462
2018-09-01,1.057789594503325,1.1118235687032731,1.206284526145638,1.2543291999416584
2018-10-01,1.0070474740315187,0.9423711552318343,1.20488955587182,1.2480824020741728
2018-11-01,1.023877590891194,0.9321115840809534,1.2017228894475631,1.2361030381472795
2018-12-01,0.9373022876491172,0.8058867099726319,1.0942760904949471,1.1165260878779453
2019-01-01,1.0089864280214988,1.12619420704761,1.1057132648993055,1.131511217848826
2019-02-01,1.0456401150897108,1.1308193870681171,1.1217051583283033,1.1459995722531295
2019-03-01,1.0461293760674852,1.2202084446978771,1.2448193530271592,1.275925396568265
2019-04-01,1.0717469731358855,1.151051769596277,1.348021058428704,1.3841404722031603
2019-05-01,1.0048918947219818,1.0238843978203214,1.3213724908170092,1.3629997048019278
2019-06-01,1.0768209322102742,1.0857991424630096,1.3638029681758592,1.4086996186609106
2019-07-01,1.0867573601009402,0.998961543522334,1.3807221945778012,1.42347135994511
2019-08-01,1.0695973835812451,1.0366808515641834,1.467292664438869,1.508782752183107
2019-09-01,1.0890476486591436,0.9789621059385168,1.4843839873749516,1.5197752779803673
2019-10-01,1.0938550643261973,1.0509006073966196,1.504890579554222,1.5365346098857087
2019-11-01,1.1310203058433626,1.1165339817524391,1.6011058700667204,1.6314330651557154
2019-12-01,1.1483823312874375,1.1478415299793685,1.7125320901307322,1.7445861213634606
2020-01-01,1.1384865499601555,1.1660838074809288,1.7928133712080956,1.8328800226322683
2020-02-01,1.0377409748488704,1.0556324302863134,1.651996430376309,1.6981747884451293
2020-03-01,0.9003034595140312,0.9929050669478086,1.326512902652641,1.3805781338784702
2020-04-01,1.0111098107731131,1.052679538510934,1.1892514124468785,1.2554186789531665
2020-05-01,1.053720530107532,1.2205460786389977,1.218109115496477,1.3001765077092504
2020-06-01,1.070651926416224,1.3785089163511606,1.421067057284584,1.5306603966781274
2020-07-01,1.094494265304232,1.2884947179286803,1.5257388567014,1.6567047001656805
2020-08-01,1.170236137851585,1.363207720452884,1.69820845945094,1.864078769858154
2020-09-01,1.1474309882059297,1.2530161529733732,1.8209707554843813,2.0051364175915936
2020-10-01,1.1013539070563698,1.1460111197970642,1.8321806018054847,2.0133765884316883
2020-11-01,1.2197256680769863,1.0872094161514108,1.9240834253601764,2.102290972886889
2020-12-01,1.252380331831492,1.227546160481242,2.13678340210581,2.327851137265752
2021-01-01,1.2319970235069042,1.2856432188594966,2.421966498569654,2.6306971715128813
2021-02-01,1.2636737091075003,1.1867439698761562,2.528284533770858,2.7383490867955507
2021-03-01,1.3299208701739222,1.133555120270408,2.705366797387492,2.9156576843758777
2021-04-01,1.3570057330772711,1.20089891928334,3.0265877397330105,3.2581172225233352
2021-05-01,1.3763297338051346,1.2011705273546216,3.326090393913068,3.5730904275113304
2021-06-01,1.3755496026240852,1.2469751674129388,3.4590105196095413,3.728497521206121
2021-07-01,1.3880981682119846,1.2086871027456318,3.5602707551221706,3.827114743473134
2021-08-01,1.400270946593554,1.2275664733104563,3.643744693661216,3.9263483946986972
2021-09-01,1.357375662088884,1.1303840961608318,3.570144409108751,3.8429633828550287
2021-10-01,1.4157505964728734,1.1681652091410497,3.6100719822946026,3.886572906580395
2021-11-01,1.378457008941533,1.207750781823926,3.4826018724683485,3.7573981054630234
2021-12-01,1.4322383903724436,1.3355053074322976,3.6861162817235194,3.9710421820378285
2022-01-01,1.399038120125561,1.1916761268548757,3.663781977028891,3.9289895808518533
2022-02-01,1.363763647480317,1.1230005996524923,3.683579491641962,3.92832117074508
2022-03-01,1.38694717319908,1.115264458390321,3.6035650178783505,3.843693063980157
2022-04-01,1.3378923436483134,1.0675850258202506,3.4059614889491896,3.615973793391348
2022-05-01,1.3382838308566911,1.115567756269484,3.3007712582234574,3.474704194577672
2022-06-01,1.271151873385047,0.9732033713756396,2.890503941511122,3.0066066295435903
2022-07-01,1.3384035491460733,1.200420044720043,2.8460362574007174,2.9745886708058085
2022-08-01,1.2977674102970025,1.1763371320494254,2.6903406394833924,2.827818470755356
2022-09-01,1.2093865170659668,1.2138642674605362,2.4849506309527274,2.6301528428933905
2022-10-01,1.3488945531573084,1.2756565147313734,2.4238665114271933,2.5397257949863583
2022-11-01,1.4056208902829708,1.337997466746197,2.6028749460022005,2.6893908427549076
2022-12-01,1.36391724348802,1.368952747949756,2.963833679284752,3.008799111284286
2023-01-01,1.3922390216898315,1.1992348381779774,3.1493179922866026,3.192958555860829
2023-02-01,1.3503057292609528,1.1145793793256118,3.035540410261349,3.081573062542921
2023-03-01,1.3692130050579965,1.1580486593777284,3.1464842233416372,3.220365060970937
2023-04-01,1.3939773268346385,1.247772620540177,3.1638811246473586,3.240693911170592
2023-05-01,1.359081290815466,1.247367334416035,3.209038117191842,3.3221442244267556
2023-06-01,1.4046422410752852,1.2763888519332705,3.3146530490095425,3.4638673719041315
2023-07-01,1.4381211711718096,1.2309944472898686,3.457917291175546,3.6462439775451547
2023-08-01,1.4145657117969055,1.2906505412500944,3.673158871406588,3.885935396226212
