Date,MPO,SPO,SP100
2016-03-01,1.0,1.0,1.0
2016-04-01,1.0672625895231294,1.067352779900722,1.0022893615854847
2016-05-01,1.1218383043516242,1.1199964926695827,1.0160923436112579
2016-06-01,1.0094594131011,1.0068817097714624,1.0166097590762693
2016-07-01,1.114940076387279,1.0757577848602355,1.0528331275056009
2016-08-01,1.1130678712589002,1.0887466843700633,1.0510967272870864
2016-09-01,1.1635712111466354,1.166635886385201,1.0496384900681657
2016-10-01,1.0901771860981966,1.0534015900024678,1.0341901677168694
2016-11-01,1.1423402091041244,1.143732016224864,1.0606451158214345
2016-12-01,1.201715433662335,1.1447603023860504,1.083961623391453
2017-01-01,1.234628537268808,1.2263829302456932,1.0971042853979838
2017-02-01,1.2194592027458713,1.2267610583842663,1.139007423337519
2017-03-01,1.1569283711405722,1.1252178461576858,1.1385392276359148
2017-04-01,1.119291692775826,1.1260265925523023,1.1469516765058607
2017-05-01,1.085375815443431,1.092376453667729,1.1545830673443729
2017-06-01,1.0991452110163356,1.1057579832053277,1.1590989027429133
2017-07-01,1.189767313257577,1.196492811546977,1.178982561456848
2017-08-01,1.1303161006214812,1.137131162189383,1.1834273317390132
2017-09-01,1.118833675370185,1.1256245689929427,1.2002587892681926
2017-10-01,1.0752454125506556,1.0818989158137549,1.2224132915983277
2017-11-01,1.0808097223934774,1.0875147731088748,1.2496469889889716
2017-12-01,1.0429986369139823,1.0497388352472838,1.262800025783063
2018-01-01,1.205240136670256,1.2120004663099189,1.3205019385773087
2018-02-01,1.145320747325977,1.152128891160153,1.2809068808923525
2018-03-01,1.093455486043712,1.1001695312861608,1.2438812456898853
2018-04-01,0.9504223987524172,0.9574641801986392,1.2467843668747596
2018-05-01,1.1200513155781417,1.1262289322313266,1.2710622387184396
2018-06-01,1.1866322609311262,1.2103731871050183,1.275763995503737
2018-07-01,1.187513992667271,1.2796458724664608,1.315328675089861
2018-08-01,1.156295328038638,1.1618783948146663,1.3516803165450866
2018-09-01,1.1532386821817524,1.1704677202361198,1.3574072533524295
2018-10-01,1.0194254716229771,1.0366053387362286,1.2914008926844462
2018-11-01,0.9106345093341587,0.9193968576619976,1.3049262360286684
2018-12-01,0.7949446889572562,0.80440824894578,1.214066898609287
2019-01-01,1.1620394152422717,1.141258193129181,1.283922500191915
2019-02-01,1.2601391951398853,1.2398687118697527,1.3106662516023235
2019-03-01,1.3573025945248667,1.3992294416415136,1.3335586619229738
2019-04-01,1.4515429088871206,1.4498024342211093,1.3764170866624104
2019-05-01,1.3131570846950469,1.3602864880721386,1.30732427712035
2019-06-01,1.4137037551935565,1.4244497758542607,1.3751749627724719
2019-07-01,1.193337072955554,1.1925061288356855,1.3903045278255841
2019-08-01,1.2588129627323115,1.296916331313812,1.3715435004252197
2019-09-01,1.1655930442995088,1.181958745028227,1.3892395302545122
2019-10-01,1.2725070942680285,1.2778289338213358,1.4154778954060994
2019-11-01,1.3258234355633065,1.3694298431014078,1.4516843282264593
2019-12-01,1.4096602633474924,1.4698513384687952,1.4828148194289186
2020-01-01,1.3581154144772052,1.3850466744236702,1.4859627956410495
2020-02-01,1.2307586458629096,1.2419101997668096,1.4014400436532755
2020-03-01,1.1126341084502234,1.112624332296386,1.2980370191911943
2020-04-01,1.2732331404250967,1.2339459090983649,1.4248097156058954
2020-05-01,1.40538235880835,1.389697549909064,1.4633816237972566
2020-06-01,1.5938461385005387,1.5554539631921342,1.4904391682183042
2020-07-01,1.6096476885034314,1.6356373788407057,1.5448803404929143
2020-08-01,1.82101423183737,1.841646529490401,1.6339275937953943
2020-09-01,1.6817294144066612,1.6571446789264062,1.586116210734995
2020-10-01,1.4616744837088431,1.4785710655900899,1.5521993765252071
2020-11-01,1.4428638973502395,1.461021808389607,1.6524348374544895
2020-12-01,1.6022362510557426,1.58698843522642,1.6896491466968244
2021-01-01,1.6681581256144067,1.6864095438198317,1.6834009630292859
2021-02-01,1.4700427369145284,1.478255798309989,1.6960753563296587
2021-03-01,1.4139816840980863,1.4170736994593762,1.7367702536677685
2021-04-01,1.446236441232758,1.5030890046697036,1.79168509311531
2021-05-01,1.429670344730926,1.4565383828065368,1.7936421817868076
2021-06-01,1.513311194469842,1.5126109520708737,1.8252506717862782
2021-07-01,1.4877617841265613,1.5114267202595848,1.8491722903128083
2021-08-01,1.5520556374951577,1.5735830067149965,1.882685361954414
2021-09-01,1.450879765746357,1.4719856487282967,1.8337860772902177
2021-10-01,1.63755989420038,1.6588425364423374,1.9068328288309888
2021-11-01,1.6383095613522518,1.6575559236181308,1.9047404414003628
2021-12-01,1.646752555310269,1.668439554348081,1.941136995845886
2022-01-01,1.414820735097586,1.4367208937575335,1.8946725392878705
2022-02-01,1.3201470396424542,1.3423542926456091,1.854316204898264
2022-03-01,1.4376714635860632,1.4587442629924416,1.8929535467931828
2022-04-01,1.3664712320703898,1.3700848996914021,1.7941017890509139
2022-05-01,1.3933110817647032,1.3842552174218676,1.789866798513203
2022-06-01,1.2009134135929223,1.2158106936865782,1.7118590933060867
2022-07-01,1.5732267420634312,1.5921177940506035,1.8045683276213695
2022-08-01,1.5983752331995185,1.596365221406415,1.7580894980576418
2022-09-01,1.6126764596230532,1.584860854283135,1.6623193453378626
2022-10-01,1.6243872146651228,1.5625094729383366,1.732901718695996
2022-11-01,1.6575441181442898,1.6823194539255064,1.7829100717500648
2022-12-01,1.71175622980942,1.7363110743794554,1.718134825261619
2023-01-01,1.6032841981720871,1.6279928814455777,1.7808085162127667
2023-02-01,1.5084483610428479,1.5332531597942332,1.759473817917553
